
File #,DateTime,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Be,Be Err,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P2O5,P2O5 Err,S,S Err,Cl,Cl Err,K2O,K2O Err,CaO,CaO Err,TiO2,TiO2 Err,V,V Err,Cr,Cr Err,MnO,MnO Err,Fe2O3,Fe2O3 Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check
1,01-01-2006 12:01,051225,219,AMD_01,219,GeoChem,DualMining, 60.0,No Match, 0.0,,0.0,,0.0,,,  5.2192,  1.9880,< LOD,  0.2548,  6.8962,  0.3340,  0.6282,  0.0810,  0.3198,  0.0184,  0.0431,  0.0278,< LOD,  0.0115, 30.3796,  0.1162,  0.0416,  0.0136,  0.0226,  0.0074,< LOD,  0.0061,  1.7523,  0.0502, 12.2770,  0.1063,< LOD,  0.0102,< LOD,  0.0032,  0.0077,  0.0034,  0.1064,  0.0080,  0.0038,  0.0021,  0.0460,  0.0034,  0.1082,  0.0048,  0.0059,  0.0010,< LOD,  0.0014,  0.0023,  0.0011,< LOD,  0.0017,  0.0053,  0.0031,,,,,,,  0.5060,  0.0196,< LOD,  0.0044,,,  0.0541,  0.0191,< LOD,  0.0152,,,< LOD,  0.0436,< LOD,  0.0395,< LOD,  0.0197,< LOD,  0.0059,< LOD,  0.0187,  4.0336,  0.0902,,,,,,,< LOD,  0.0067,  0.6793,  0.0093,< LOD,  0.0158,< LOD,  0.0032,< LOD,  0.0020,< LOD,  0.0096,< LOD,  0.0027,  0.0420,  0.0090,Passed
2,01-01-2006 12:05,051225,220,AMD_01,220,GeoChem,DualMining, 60.0,No Match, 0.0,,0.0,,0.0,,,< LOD,  1.8231,< LOD,  0.2932, 39.3528,  0.6075,  0.1788,  0.0747,  6.0990,  0.0744,  0.1511,  0.0270,< LOD,  0.0113, 11.0200,  0.0651,< LOD,  0.0093,  0.0070,  0.0042,< LOD,  0.0051,  0.5644,  0.0270,  8.9771,  0.0811,< LOD,  0.0096,< LOD,  0.0032,  3.7448,  0.0323,  0.2916,  0.0088,  0.0660,  0.0039,< LOD,  0.0008,< LOD,  0.0017,  0.0028,  0.0011,  0.0016,  0.0009,< LOD,  0.0009,< LOD,  0.0016,< LOD,  0.0021,,,,,,,  0.0170,  0.0066,< LOD,  0.0038,,,< LOD,  0.0133,  0.0953,  0.0152,,,< LOD,  0.0303,< LOD,  0.0477,< LOD,  0.0190,< LOD,  0.0252,< LOD,  0.0088,< LOD,  0.0142,,,,,,,< LOD,  0.0043,< LOD,  0.0015,< LOD,  0.0067,< LOD,  0.0013,  0.0428,  0.0040,< LOD,  0.0069,< LOD,  0.0029,< LOD,  0.0055,Passed
3,01-01-2006 12:08,051225,221,AMD_01,221,GeoChem,DualMining, 60.0,No Match, 0.0,,0.0,,0.0,,,< LOD,  1.2466,  3.3022,  0.4129, 31.6082,  0.5431,  0.1009,  0.0684,  3.3705,  0.0616,  0.0743,  0.0267,  0.2237,  0.0164,  7.9867,  0.0574,  0.3216,  0.0148,  0.0074,  0.0053,< LOD,  0.0055,  1.2487,  0.0368,  8.7085,  0.0761,  0.0516,  0.0109,  0.0098,  0.0047,  9.4522,  0.0508,  0.2347,  0.0092,  0.5645,  0.0090,< LOD,  0.0009,  0.0030,  0.0017,  0.0066,  0.0011,< LOD,  0.0010,  0.0055,  0.0010,< LOD,  0.0015,< LOD,  0.0021,,,,,< LOD,  0.0027,  0.1247,  0.0090,< LOD,  0.0038,,,< LOD,  0.0139,  0.0987,  0.0149,,,< LOD,  0.0365,< LOD,  0.0331,< LOD,  0.0216,< LOD,  0.0412,< LOD,  0.0093,< LOD,  0.0134,,,,,,,< LOD,  0.0038,< LOD,  0.0014,  0.0279,  0.0092,< LOD,  0.0023,  0.0033,  0.0023,< LOD,  0.0070,< LOD,  0.0027,< LOD,  0.0051,Passed
4,01-01-2006 12:12,051225,222,AMD_01,222,GeoChem,DualMining, 60.0,No Match, 0.0,,0.0,,0.0,,,< LOD,  1.3031,  2.8967,  0.3511, 23.4398,  0.4895,  0.5128,  0.0836,  7.8766,  0.0831,  0.0519,  0.0252,  0.1413,  0.0141, 17.1636,  0.0812,  0.2420,  0.0150,  0.0136,  0.0061,< LOD,  0.0053,  0.4842,  0.0251,  8.7700,  0.0852,  0.0146,  0.0097,  0.0042,  0.0036,  0.8552,  0.0164,  1.0066,  0.0163,  0.2737,  0.0085,< LOD,  0.0008,  0.0043,  0.0022,  0.0052,  0.0011,  0.0124,  0.0011,  0.0059,  0.0011,  0.0022,  0.0016,< LOD,  0.0024,,,,,,,< LOD,  0.0098,  0.0046,  0.0045,,,< LOD,  0.0153,  0.1886,  0.0200,,,< LOD,  0.0408,< LOD,  0.0368,< LOD,  0.0199,< LOD,  0.0132,< LOD,  0.0204,< LOD,  0.0220,,,,,,,< LOD,  0.0066,< LOD,  0.0021,< LOD,  0.0070,< LOD,  0.0018,  0.3416,  0.0087,< LOD,  0.0092,< LOD,  0.0028,< LOD,  0.0056,Passed
5,01-01-2006 12:15,051225,223,AMD_01,223,GeoChem,DualMining, 60.0,1.4713, 0.0,1.4847, 0.0,1.4542, 0.0,,,< LOD,  3.2225,  1.6241,  0.4620,  0.8859,  0.3176,< LOD,  0.0790, 30.6352,  0.2056,< LOD,  0.0268,  0.0834,  0.0115,  4.4692,  0.0420,  0.0921,  0.0139,< LOD,  0.0063,< LOD,  0.0048,  0.7021,  0.0273, 41.7822,  0.2128,< LOD,  0.0168,  0.0071,  0.0068,  2.1036,  0.0346,  0.3109,  0.0135,  0.0535,  0.0069,< LOD,  0.0014,  0.0048,  0.0026,  0.0018,  0.0012,  0.0023,  0.0015,  0.0029,  0.0009,< LOD,  0.0026,  0.0170,  0.0022,,,,,< LOD,  0.0031,  0.0183,  0.0097,  0.0063,  0.0044,,,< LOD,  0.0094,  1.0857,  0.0416,,,< LOD,  0.0281,< LOD,  0.0361,< LOD,  0.0160,< LOD,  0.0135,< LOD,  0.0145,< LOD,  0.0127,,,,,,,< LOD,  0.0032,< LOD,  0.0012,< LOD,  0.0069,< LOD,  0.0028,  0.5952,  0.0174,< LOD,  0.0074,< LOD,  0.0023,< LOD,  0.0025,Passed
6,01-01-2006 12:17,051225,224,AMD_01,224,GeoChem,DualMining, 60.0,1.4892, 0.0,1.4454, 0.0,1.3405, 0.0,,,< LOD,  2.3456,< LOD,  0.3439,  4.6565,  0.2705,< LOD,  0.0649,  1.6639,  0.0533,< LOD,  0.0317,< LOD,  0.0124, 13.0823,  0.0773,< LOD,  0.0355,< LOD,  0.0142,< LOD,  0.0073,  8.3068,  0.0957, 32.1409,  0.1592,< LOD,  0.0160,  0.1128,  0.0104,  0.0123,  0.0037,  0.4901,  0.0154,  0.4090,  0.0094,< LOD,  0.0013,< LOD,  0.0026,  0.0987,  0.0029,< LOD,  0.0015,< LOD,  0.0014,< LOD,  0.0025,< LOD,  0.0026,,,,,< LOD,  0.0032,< LOD,  0.0107,< LOD,  0.0042,,,  0.0285,  0.0151,  0.0212,  0.0145,,,  7.0400,  0.1077,< LOD,  0.0509,  0.2498,  0.0269,< LOD,  0.0052,< LOD,  0.0136,< LOD,  0.0157,,,,,,,< LOD,  0.0041,< LOD,  0.0014,  0.0077,  0.0076,< LOD,  0.0030,  0.0043,  0.0023,< LOD,  0.0073,  0.0031,  0.0026,< LOD,  0.0049,Passed
7,01-01-2006 12:21,051225,225,AMD_01,225,GeoChem,DualMining, 60.0,No Match, 0.0,,0.0,,0.0,,,< LOD,  1.6653,< LOD,  0.2905, 27.8771,  0.5003,< LOD,  0.0581,  6.4952,  0.0858,< LOD,  0.0257,  0.0758,  0.0111,  1.2331,  0.0246,  2.9360,  0.0474,< LOD,  0.0152,< LOD,  0.0073,  0.6258,  0.0270,  3.6109,  0.0516,  0.3487,  0.0142,  0.7780,  0.0171,  0.0446,  0.0047,  0.0299,  0.0033,  3.0716,  0.0212,  0.0044,  0.0011,< LOD,  0.0020,  0.3206,  0.0049,< LOD,  0.0011,< LOD,  0.0015,< LOD,  0.0024,< LOD,  0.0024,,,,,< LOD,  0.0027,< LOD,  0.0068,< LOD,  0.0047,,,  0.0285,  0.0160,  0.0193,  0.0151,,,  9.8305,  0.1235,< LOD,  0.0283,  1.5833,  0.0443,< LOD,  0.0063,< LOD,  0.0091,  0.0137,  0.0118,,,,,,,< LOD,  0.0030,< LOD,  0.0012,< LOD,  0.0094,< LOD,  0.0035,< LOD,  0.0031,< LOD,  0.0089,  0.0080,  0.0032,  0.0269,  0.0076,Passed
8,01-01-2006 12:24,051225,226,AMD_01,226,GeoChem,DualMining, 62.0,Yellow 8K Gold, 0.0,White 8K Gold, 0.0,White 9K Gold, 0.0,,,< LOD,  0.9495,< LOD,  0.2383,  0.4037,  0.2431,< LOD,  0.0593, 12.0481,  0.1178,< LOD,  0.0249,  0.0621,  0.0119,  1.9122,  0.0296,  6.6073,  0.0657,< LOD,  0.0283,< LOD,  0.0100,  0.2593,  0.0184,  1.0171,  0.0299,< LOD,  0.0036,  0.0156,  0.0038,  0.0067,  0.0024,< LOD,  0.0020,  0.0072,  0.0017,< LOD,  0.0009,< LOD,  0.0030,  0.5444,  0.0069,< LOD,  0.0010,< LOD,  0.0019,< LOD,  0.0035,< LOD,  0.0030,,,  0.0280,  0.0015,< LOD,  0.0033,< LOD,  0.0127,< LOD,  0.0063,,,  0.0766,  0.0210,  0.0265,  0.0221,,, 15.2429,  0.1701,< LOD,  0.0340,  3.2141,  0.0629,< LOD,  0.0048,< LOD,  0.0079,,,,,,,,,< LOD,  0.0022,< LOD,  0.0009,< LOD,  0.0064,< LOD,  0.0014,< LOD,  0.0040,< LOD,  0.0125,  0.0133,  0.0037,< LOD,  0.0091,Passed
9,01-01-2006 12:26,051225,227,AMD_01,227,GeoChem,DualMining, 60.0,1.4892, 0.0,1.3405, 0.0,1.4454, 0.0,,,< LOD,  2.5671,< LOD,  0.3816,  1.4601,  0.2098,< LOD,  0.0606,  1.7331,  0.0592,< LOD,  0.0363,< LOD,  0.0120,  8.9382,  0.0656,  0.0354,  0.0323,< LOD,  0.0134,< LOD,  0.0070,  9.4371,  0.0987, 41.2006,  0.1767,< LOD,  0.0180,  0.0141,  0.0064,  0.0066,  0.0031,  0.5472,  0.0173,< LOD,  0.0023,< LOD,  0.0012,  0.0036,  0.0026,  0.0780,  0.0027,< LOD,  0.0015,< LOD,  0.0013,< LOD,  0.0026,< LOD,  0.0025,,,,,< LOD,  0.0032,< LOD,  0.0108,< LOD,  0.0041,,,  0.0173,  0.0145,< LOD,  0.0205,,,  3.7207,  0.0791,< LOD,  0.0365,  0.1438,  0.0242,< LOD,  0.0048,< LOD,  0.0121,< LOD,  0.0151,,,,,,,< LOD,  0.0040,< LOD,  0.0013,< LOD,  0.0067,< LOD,  0.0022,  0.0080,  0.0024,  0.0102,  0.0068,< LOD,  0.0024,< LOD,  0.0042,Passed
