File #,DateTime,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Be,MgO,Al2O3,SiO2,P2O5,S,Cl,K2O,CaO,TiO2,V,Cr,MnO,Fe2O3,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Ba,La,Ce,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Cal Check,Ti,Mn,Fe,Sc,Br,I
1,01-01-2006 12:01,051225,219,AMD_01,219,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,"5,2192",0,"6,8962","0,6282","0,3198","0,0431",0,"30,3796","0,0416","0,0226",0,"1,7523","12,2770",0,0,"0,0077","0,1064","0,0038","0,0460","0,1082","0,0059",0,"0,0023",0,"0,0053",0,0,0,"0,5060",0,0,"0,0541",0,0,0,0,0,0,0,"4,0336",0,0,0,0,"0,6793",0,0,0,0,0,"0,0420",Passed,0,0,0,0,0,0
2,01-01-2006 12:05,051225,220,AMD_01,220,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,0,"39,3528","0,1788","6,0990","0,1511",0,"11,0200",0,"0,0070",0,"0,5644","8,9771",0,0,"3,7448","0,2916","0,0660",0,0,"0,0028","0,0016",0,0,0,0,0,0,"0,0170",0,0,0,"0,0953",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0428",0,0,0,Passed,0,0,0,0,0,0
3,01-01-2006 12:08,051225,221,AMD_01,221,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,"3,3022","31,6082","0,1009","3,3705","0,0743","0,2237","7,9867","0,3216","0,0074",0,"1,2487","8,7085","0,0516","0,0098","9,4522","0,2347","0,5645",0,"0,0030","0,0066",0,"0,0055",0,0,0,0,0,"0,1247",0,0,0,"0,0987",0,0,0,0,0,0,0,0,0,0,0,0,"0,0279",0,"0,0033",0,0,0,Passed,0,0,0,0,0,0
4,01-01-2006 12:12,051225,222,AMD_01,222,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,"2,8967","23,4398","0,5128","7,8766","0,0519","0,1413","17,1636","0,2420","0,0136",0,"0,4842","8,7700","0,0146","0,0042","0,8552","1,0066","0,2737",0,"0,0043","0,0052","0,0124","0,0059","0,0022",0,0,0,0,0,"0,0046",0,0,"0,1886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3416",0,0,0,Passed,0,0,0,0,0,0
5,01-01-2006 12:15,051225,223,AMD_01,223,GeoChem,DualMining,"60,0","1,4713","0,0","1,4847","0,0","1,4542","0,0",0,0,"1,6241","0,8859",0,"30,6352",0,"0,0834","4,4692","0,0921",0,0,"0,7021","41,7822",0,"0,0071","2,1036","0,3109","0,0535",0,"0,0048","0,0018","0,0023","0,0029",0,"0,0170",0,0,0,"0,0183","0,0063",0,0,"1,0857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5952",0,0,0,Passed,0,0,0,0,0,0
6,01-01-2006 12:17,051225,224,AMD_01,224,GeoChem,DualMining,"60,0","1,4892","0,0","1,4454","0,0","1,3405","0,0",0,0,0,"4,6565",0,"1,6639",0,0,"13,0823",0,0,0,"8,3068","32,1409",0,"0,1128","0,0123","0,4901","0,4090",0,0,"0,0987",0,0,0,0,0,0,0,0,0,0,"0,0285","0,0212",0,"7,0400",0,"0,2498",0,0,0,0,0,0,0,0,"0,0077",0,"0,0043",0,"0,0031",0,Passed,0,0,0,0,0,0
7,01-01-2006 12:21,051225,225,AMD_01,225,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,0,"27,8771",0,"6,4952",0,"0,0758","1,2331","2,9360",0,0,"0,6258","3,6109","0,3487","0,7780","0,0446","0,0299","3,0716","0,0044",0,"0,3206",0,0,0,0,0,0,0,0,0,0,"0,0285","0,0193",0,"9,8305",0,"1,5833",0,0,"0,0137",0,0,0,0,0,0,0,0,0,"0,0080","0,0269",Passed,0,0,0,0,0,0
8,01-01-2006 12:24,051225,226,AMD_01,226,GeoChem,DualMining,"62,0",Yellow 8K Gold,"0,0",White 8K Gold,"0,0",White 9K Gold,"0,0",0,0,0,"0,4037",0,"12,0481",0,"0,0621","1,9122","6,6073",0,0,"0,2593","1,0171",0,"0,0156","0,0067",0,"0,0072",0,0,"0,5444",0,0,0,0,0,"0,0280",0,0,0,0,"0,0766","0,0265",0,"15,2429",0,"3,2141",0,0,0,0,0,0,0,0,0,0,0,0,"0,0133",0,Passed,0,0,0,0,0,0
9,01-01-2006 12:26,051225,227,AMD_01,227,GeoChem,DualMining,"60,0","1,4892","0,0","1,3405","0,0","1,4454","0,0",0,0,0,"1,4601",0,"1,7331",0,0,"8,9382","0,0354",0,0,"9,4371","41,2006",0,"0,0141","0,0066","0,5472",0,0,"0,0036","0,0780",0,0,0,0,0,0,0,0,0,0,"0,0173",0,0,"3,7207",0,"0,1438",0,0,0,0,0,0,0,0,0,0,"0,0080","0,0102",0,0,Passed,0,0,0,0,0,0
10,01-01-2006 12:29,051225,228,AMD_01,228,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,"1,8588",0,"54,0680","0,0640","3,8309","0,0574","0,1751","2,6487","0,1015","0,0086",0,"0,0368","9,1391",0,0,"0,1826","0,0090","0,1120",0,"0,0034","0,0039","0,0011","0,0017",0,"0,1050",0,0,0,0,0,0,0,"0,0411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0148",0,0,0,Passed,0,0,0,0,0,0
11,01-01-2006 12:32,051225,229,AMD_01,229,GeoChem,DualMining,"61,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,"3,4119","48,4824",0,"1,7604","0,0704","0,5278","2,3444","0,9621","0,0130",0,"0,0282","11,9058",0,"0,0063","0,0105","0,0064","0,0734",0,"0,0082","0,0033","0,0012","0,0128","0,0017","0,1031",0,0,0,0,0,0,0,"0,0728",0,0,0,0,0,0,"0,0166",0,0,0,0,0,0,0,"0,0128",0,0,0,Passed,0,0,0,0,0,0
